Bid,Difference_Bid_PTE,Winner,codmat,coduasg,Tender,ipgItem,ipgQuantidade,ipgValorMinClassif,Pre_Tender,Date,Bid_value,numprp,prgCod,Competitor,atualizado,Number_bids,especificidade,frequencia,material,Collusive_competitor_original,Collusive_competitor,CV,SPD,DIFFP,RD,KURT,SKEW,KSTEST
7519557,6156675.6,1,3697,250059,540445,1,60,11880000.0,18036675.6,1138370958,11880000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7519546,6145775.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370943,11890900.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7519504,6136675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370888,11900000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7519498,6036675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370877,12000000.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7519500,5988675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370881,12048000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7519494,5987675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370873,12049000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7519482,5986675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370858,12050000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7519486,5936675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370863,12100000.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7519472,5935685.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370844,12100990.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7519473,5916675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370844,12120000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7519459,5906675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370824,12130000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7519463,5896085.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370831,12140590.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7519452,5895695.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370812,12140980.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7519442,5886675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370795,12150000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7519445,5855685.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370799,12180990.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7519435,5845685.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370784,12190990.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7519430,5836675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370776,12200000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7519421,5816675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370766,12220000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7519230,5796675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370752,12240000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7519424,5795886.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370770,12240789.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7519224,5785885.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370747,12250790.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7519219,5778675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370741,12258000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7519212,5776685.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370730,12259990.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7519197,5775685.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370710,12260990.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7519184,5766675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370697,12270000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7519171,5756675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370677,12280000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7519183,5755685.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370696,12280990.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7519159,5746675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370664,12290000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7519168,5745685.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370672,12290990.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7519145,5736675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370651,12300000.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7519127,5735685.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370634,12300990.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7519137,5727675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370642,12309000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7519113,5725785.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370616,12310890.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7519109,5717675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370614,12319000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7519100,5715685.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370602,12320990.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7519087,5696675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370589,12340000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7519085,5695685.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370588,12340990.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7519057,5686675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370558,12350000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7519067,5685695.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370569,12350980.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7519052,5675695.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370551,12360980.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7519035,5666675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370535,12370000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7519030,5665695.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370531,12370980.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7519027,5656675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370528,12380000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7519018,5645685.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370516,12390990.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7519007,5636675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370506,12400000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518998,5626675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370497,12410000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7519004,5625775.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370504,12410900.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518993,5616675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370490,12420000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518990,5615685.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370489,12420990.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518978,5606675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370476,12430000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518976,5605685.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370475,12430990.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518963,5596675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370469,12440000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518952,5585685.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370456,12450990.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518949,5566675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370455,12470000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518943,5556675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370444,12480000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518912,5546675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370435,12490000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518942,5545695.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370443,12490980.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518882,5536675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370426,12500000.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518859,5516675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370396,12520000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518872,5495685.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370412,12540990.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518837,5486675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370376,12550000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
